NM_MUN,bacia,populacao,domestico_t_ano,reciclavel_t_ano,risco
Abdon Batista,Outras Bacias,2598.0,900.8565,90.08565,BAIXO
Abelardo Luz,Outras Bacias,17392.0,6030.6759999999995,603.0676,BAIXO
Agrolândia,Outras Bacias,10990.0,3810.7825,381.07825,BAIXO
Agronômica,Outras Bacias,6055.0,2099.57125,209.95712500000002,BAIXO
Água Doce,Outras Bacias,6508.0,2256.649,225.6649,BAIXO
Águas de Chapecó,Bacia do Uruguai,6036.0,2092.983,209.29830000000004,BAIXO
Águas Frias,Outras Bacias,2839.0,984.4232499999999,98.442325,BAIXO
Águas Mornas,Outras Bacias,6743.0,2338.13525,233.813525,BAIXO
Alfredo Wagner,Outras Bacias,10481.0,3634.2867499999998,363.428675,BAIXO
Alto Bela Vista,Outras Bacias,1856.0,643.5679999999999,64.35679999999999,BAIXO
Anchieta,Outras Bacias,5943.0,2060.7352499999997,206.073525,BAIXO
Angelina,Outras Bacias,5358.0,1857.8864999999998,185.78865,BAIXO
Anita Garibaldi,Outras Bacias,8285.0,2872.82375,287.282375,BAIXO
Anitápolis,Outras Bacias,3593.0,1245.87275,124.587275,BAIXO
Antônio Carlos,Outras Bacias,11224.0,3891.9219999999996,389.19219999999996,BAIXO
Apiúna,Outras Bacias,9811.0,3401.9642499999995,340.196425,BAIXO
Arabutã,Outras Bacias,4378.0,1518.0714999999998,151.80714999999998,BAIXO
Araquari,Bacia Litorânea Norte,45283.0,15701.88025,1570.1880250000002,BAIXO
Araranguá,Bacia do Tubarão,71922.0,24938.953499999996,2493.89535,BAIXO
Armazém,Outras Bacias,8834.0,3063.1894999999995,306.31895,BAIXO
Arroio Trinta,Outras Bacias,3556.0,1233.043,123.3043,BAIXO
Arvoredo,Outras Bacias,2510.0,870.3425,87.03425,BAIXO
Ascurra,Outras Bacias,8319.0,2884.6132499999994,288.46132499999993,BAIXO
Atalanta,Outras Bacias,3227.0,1118.9622499999998,111.89622499999999,BAIXO
Aurora,Outras Bacias,6780.0,2350.965,235.09650000000002,BAIXO
Balneário Arroio do Silva,Outras Bacias,15820.0,5485.585,548.5585,BAIXO
Balneário Camboriú,Outras Bacias,139155.0,48251.99625,4825.199625,BAIXO
Balneário Barra do Sul,Outras Bacias,14912.0,5170.736,517.0736,BAIXO
Balneário Gaivota,Outras Bacias,15669.0,5433.22575,543.322575,BAIXO
Bandeirante,Outras Bacias,3144.0,1090.182,109.01820000000001,BAIXO
Barra Bonita,Outras Bacias,1668.0,578.379,57.837900000000005,BAIXO
Barra Velha,Outras Bacias,45369.0,15731.700749999998,1573.170075,BAIXO
Bela Vista do Toldo,Outras Bacias,5872.0,2036.1159999999998,203.61159999999998,BAIXO
Belmonte,Outras Bacias,2658.0,921.6615,92.16615000000002,BAIXO
Benedito Novo,Outras Bacias,10520.0,3647.81,364.781,BAIXO
Biguaçu,Bacia Litorânea Central,76773.0,26621.037749999996,2662.1037749999996,BAIXO
Blumenau,Bacia do Itajaí,361261.0,125267.25175,12526.725175,ALTO
Bocaina do Sul,Outras Bacias,3515.0,1218.82625,121.88262500000002,BAIXO
Bombinhas,Outras Bacias,25058.0,8688.8615,868.8861500000002,BAIXO
Bom Jardim da Serra,Outras Bacias,4026.0,1396.0155,139.60155,BAIXO
Bom Jesus,Outras Bacias,2777.0,962.92475,96.29247500000001,BAIXO
Bom Jesus do Oeste,Outras Bacias,2187.0,758.34225,75.834225,BAIXO
Bom Retiro,Outras Bacias,8418.0,2918.9415,291.89415,BAIXO
Botuverá,Outras Bacias,5363.0,1859.6202499999997,185.96202499999998,BAIXO
Braço do Norte,Outras Bacias,33773.0,11710.78775,1171.078775,BAIXO
Braço do Trombudo,Outras Bacias,4026.0,1396.0155,139.60155,BAIXO
Brunópolis,Outras Bacias,2489.0,863.0607499999999,86.30607499999999,BAIXO
Brusque,Bacia do Itajaí,141385.0,49025.24875,4902.524875,BAIXO
Caçador,Bacia do Rio do Peixe,73720.0,25562.41,2556.241,BAIXO
Caibi,Outras Bacias,6304.0,2185.9119999999994,218.59119999999996,BAIXO
Calmon,Outras Bacias,3443.0,1193.86025,119.386025,BAIXO
Camboriú,Outras Bacias,103074.0,35740.909499999994,3574.09095,BAIXO
Capão Alto,Outras Bacias,2625.0,910.21875,91.02187500000001,BAIXO
Campo Alegre,Outras Bacias,12501.0,4334.72175,433.472175,BAIXO
Campo Belo do Sul,Outras Bacias,7257.0,2516.36475,251.63647500000002,BAIXO
Campo Erê,Outras Bacias,9623.0,3336.77525,333.67752500000006,BAIXO
Campos Novos,Bacia do Canoas,36932.0,12806.171,1280.6171000000002,BAIXO
Canelinha,Outras Bacias,12821.0,4445.68175,444.568175,BAIXO
Canoinhas,Outras Bacias,55016.0,19076.798,1907.6798,BAIXO
Capinzal,Outras Bacias,23314.0,8084.1295,808.41295,BAIXO
Capivari de Baixo,Outras Bacias,23975.0,8313.33125,831.333125,BAIXO
Catanduvas,Outras Bacias,10566.0,3663.7604999999994,366.37604999999996,BAIXO
Caxambu do Sul,Outras Bacias,4614.0,1599.9045,159.99045,BAIXO
Celso Ramos,Outras Bacias,2805.0,972.63375,97.263375,BAIXO
Cerro Negro,Outras Bacias,3317.0,1150.1697499999998,115.01697499999999,BAIXO
Chapadão do Lageado,Outras Bacias,2950.0,1022.9125,102.29125,BAIXO
Chapecó,Bacia do Uruguai,254785.0,88346.69875,8834.669875,MÉDIO
Cocal do Sul,Outras Bacias,17240.0,5977.97,597.797,BAIXO
Concórdia,Bacia do Uruguai,81646.0,28310.7505,2831.07505,BAIXO
Cordilheira Alta,Outras Bacias,4781.0,1657.81175,165.78117500000002,BAIXO
